"SEGMENT_ID","DIMENSIONS","BASELINE_FLOOR","RECOMMENDED_FLOOR","EXPECTED_REVENUE_LIFT_PCT","IMPRESSIONS","YIELD_MULTIPLIER"
80,"cnn.com / native / Set Top Box",0.00643,0.01842,186.5,374,2.865
79,"espn.com / native / Phone",0.00643,0.01842,186.5,374,2.865
84,"espn.com / native / Connected TV",0.00643,0.01837,185.7,375,2.857
83,"people.com / native / Phone",0.00643,0.01837,185.7,375,2.857
86,"techcrunch.com / banner / Connected TV",0.00643,0.01834,185.3,751,2.853
85,"foxnews.com / banner / Connected TV",0.00643,0.01834,185.3,751,2.853
87,"buzzfeed.com / video / Mobile/Tablet",0.00643,0.01832,185.0,376,2.850
88,"people.com / native / Mobile/Tablet",0.00643,0.01832,185.0,376,2.850
89,"espn.com / video / Connected TV",0.00643,0.01827,184.2,377,2.842
90,"people.com / video / Connected TV",0.00643,0.01827,184.2,377,2.842
92,"weather.com / video / Connected TV",0.00643,0.01823,183.5,378,2.835
93,"bbc.com / video / Connected TV",0.00643,0.01823,183.5,378,2.835
91,"forbes.com / video / Connected TV",0.00643,0.01823,183.5,378,2.835
94,"weather.com / banner / Set Top Box",0.00643,0.01820,183.1,757,2.831
96,"techcrunch.com / video / Connected TV",0.00643,0.01818,182.7,379,2.827
95,"foxnews.com / native / Set Top Box",0.00643,0.01818,182.7,379,2.827
97,"variety.com / video / Connected Device",0.00643,0.01813,182.0,380,2.820
99,"cnet.com / video / Personal Computer",0.00643,0.01803,180.5,382,2.805
98,"washingtonpost.com / native / Connected TV",0.00643,0.01803,180.5,382,2.805
100,"buzzfeed.com / banner / Connected TV",0.00643,0.01801,180.2,765,2.802
102,"cnet.com / video / Set Top Box",0.00643,0.01799,179.8,383,2.798
101,"techcrunch.com / video / Connected TV",0.00643,0.01799,179.8,383,2.798
105,"tmz.com / video / Tablet",0.00643,0.01794,179.1,384,2.791
104,"forbes.com / video / Tablet",0.00643,0.01794,179.1,384,2.791
103,"espn.com / native / Connected TV",0.00643,0.01794,179.1,384,2.791
106,"people.com / video / Mobile/Tablet",0.00643,0.01789,178.3,385,2.783
111,"people.com / video / Mobile/Tablet",0.00643,0.01785,177.6,386,2.776
110,"techcrunch.com / native / Mobile/Tablet",0.00643,0.01785,177.6,386,2.776
109,"theverge.com / video / Connected Device",0.00643,0.01785,177.6,386,2.776
108,"tmz.com / native / Set Top Box",0.00643,0.01785,177.6,386,2.776
107,"people.com / native / Personal Computer",0.00643,0.01785,177.6,386,2.776
112,"weather.com / native / Mobile/Tablet",0.00643,0.01780,176.9,387,2.769
113,"techcrunch.com / video / Connected TV",0.00643,0.01776,176.2,388,2.762
114,"buzzfeed.com / native / Phone",0.00643,0.01776,176.2,388,2.762
115,"cnn.com / native / Connected Device",0.00643,0.01771,175.5,389,2.755
116,"nytimes.com / banner / Connected TV",0.00643,0.01769,175.1,779,2.751
117,"buzzfeed.com / video / Personal Computer",0.00643,0.01766,174.7,390,2.747
118,"people.com / native / Mobile/Tablet",0.00643,0.01766,174.7,390,2.747
119,"cnet.com / video / Mobile/Tablet",0.00643,0.01762,174.0,391,2.740
120,"techcrunch.com / video / Mobile/Tablet",0.00643,0.01762,174.0,391,2.740
121,"buzzfeed.com / banner / Connected TV",0.00643,0.01762,174.0,782,2.740
122,"buzzfeed.com / video / Personal Computer",0.00643,0.01757,173.3,392,2.733
123,"forbes.com / native / Connected TV",0.00643,0.01753,172.6,393,2.726
126,"buzzfeed.com / native / Phone",0.00643,0.01753,172.6,393,2.726
125,"forbes.com / video / Connected TV",0.00643,0.01753,172.6,393,2.726
124,"cnet.com / video / Connected TV",0.00643,0.01753,172.6,393,2.726
127,"foxnews.com / video / Connected TV",0.00643,0.01749,172.0,394,2.720
128,"foxnews.com / video / Personal Computer",0.00643,0.01744,171.3,395,2.713
129,"people.com / native / Set Top Box",0.00643,0.01744,171.3,395,2.713
130,"techcrunch.com / native / Connected TV",0.00643,0.01740,170.6,396,2.706
131,"cnn.com / banner / Mobile/Tablet",0.00643,0.01737,170.2,793,2.702
132,"techcrunch.com / video / Phone",0.00643,0.01735,169.9,397,2.699
134,"cnet.com / native / Connected TV",0.00643,0.01735,169.9,397,2.699
133,"buzzfeed.com / native / Connected Device",0.00643,0.01735,169.9,397,2.699
138,"foxnews.com / native / Connected TV",0.00643,0.01731,169.2,398,2.692
137,"tmz.com / native / Connected TV",0.00643,0.01731,169.2,398,2.692
136,"bbc.com / native / Mobile/Tablet",0.00643,0.01731,169.2,398,2.692
135,"techcrunch.com / video / Set Top Box",0.00643,0.01731,169.2,398,2.692
140,"forbes.com / native / Set Top Box",0.00643,0.01727,168.6,399,2.686
139,"foxnews.com / video / Connected TV",0.00643,0.01727,168.6,399,2.686
141,"theverge.com / native / Connected TV",0.00643,0.01718,167.2,401,2.672
144,"espn.com / video / Set Top Box",0.00643,0.01713,166.5,402,2.665
145,"espn.com / native / Connected TV",0.00643,0.01713,166.5,402,2.665
143,"tmz.com / video / Personal Computer",0.00643,0.01713,166.5,402,2.665
142,"techcrunch.com / video / Connected TV",0.00643,0.01713,166.5,402,2.665
146,"espn.com / banner / Personal Computer",0.00643,0.01708,165.6,807,2.656
147,"nytimes.com / native / Connected TV",0.00643,0.01701,164.6,405,2.646
148,"variety.com / video / Connected Device",0.00643,0.01697,163.9,406,2.639
149,"people.com / video / Personal Computer",0.00643,0.01688,162.6,408,2.626
150,"nytimes.com / native / Mobile/Tablet",0.00643,0.01684,162.0,409,2.620
151,"washingtonpost.com / banner / Connected Device",0.00643,0.01680,161.3,820,2.613
152,"cnn.com / native / Set Top Box",0.00643,0.01680,161.3,410,2.613
153,"forbes.com / banner / Set Top Box",0.00643,0.01674,160.4,720,2.604
154,"weather.com / banner / Connected TV",0.00643,0.01670,159.7,722,2.597
155,"cnn.com / video / Set Top Box",0.00643,0.01664,158.8,414,2.588
156,"variety.com / native / Connected Device",0.00643,0.01664,158.8,414,2.588
157,"foxnews.com / video / Connected TV",0.00643,0.01660,158.2,415,2.582
158,"foxnews.com / banner / Phone",0.00643,0.01658,157.9,727,2.579
159,"theverge.com / banner / Personal Computer",0.00643,0.01658,157.9,727,2.579
160,"techcrunch.com / native / Tablet",0.00643,0.01656,157.6,416,2.576
161,"weather.com / banner / Tablet",0.00643,0.01640,155.1,735,2.551
162,"cnn.com / banner / Mobile/Tablet",0.00643,0.01634,154.1,738,2.541
163,"foxnews.com / banner / Connected TV",0.00643,0.01631,153.7,739,2.537
164,"theverge.com / banner / Mobile/Tablet",0.00643,0.01629,153.4,740,2.534
165,"weather.com / banner / Phone",0.00643,0.01618,151.7,745,2.517
166,"people.com / banner / Connected TV",0.00643,0.01616,151.4,746,2.514
167,"nytimes.com / native / Connected TV",0.00643,0.01614,151.0,427,2.510
169,"cnn.com / banner / Set Top Box",0.00643,0.01594,148.0,756,2.480
168,"buzzfeed.com / banner / Personal Computer",0.00643,0.01594,148.0,756,2.480
170,"washingtonpost.com / banner / Personal Computer",0.00643,0.01591,147.4,758,2.474
171,"nytimes.com / banner / Connected TV",0.00643,0.01580,145.8,763,2.458
172,"tmz.com / banner / Mobile/Tablet",0.00643,0.01578,145.4,764,2.454
173,"buzzfeed.com / banner / Mobile/Tablet",0.00643,0.01576,145.1,765,2.451
174,"weather.com / banner / Set Top Box",0.00643,0.01566,143.5,770,2.435
175,"espn.com / banner / Phone",0.00643,0.01566,143.5,770,2.435
176,"espn.com / banner / Personal Computer",0.00643,0.01564,143.2,771,2.432
177,"variety.com / banner / Connected TV",0.00643,0.01560,142.6,773,2.426
179,"people.com / banner / Mobile/Tablet",0.00643,0.01551,141.3,777,2.413
178,"theverge.com / banner / Connected Device",0.00643,0.01551,141.3,777,2.413
180,"forbes.com / banner / Connected TV",0.00643,0.01546,140.4,780,2.404
181,"cnn.com / video / Connected TV",0.00643,0.01533,138.5,337,2.385
182,"washingtonpost.com / banner / Personal Computer",0.00643,0.01532,138.3,787,2.383
183,"weather.com / banner / Connected Device",0.00643,0.01530,138.0,788,2.380
184,"techcrunch.com / native / Mobile/Tablet",0.00643,0.01528,137.6,451,2.376
185,"espn.com / banner / Tablet",0.00643,0.01522,136.8,792,2.368
186,"foxnews.com / banner / Connected TV",0.00643,0.01521,136.5,793,2.365
187,"people.com / banner / Personal Computer",0.00643,0.01513,135.3,797,2.353
188,"cnet.com / video / Connected TV",0.00643,0.01511,135.0,342,2.350
189,"tmz.com / video / Phone",0.00643,0.01506,134.3,343,2.343
190,"theverge.com / native / Connected Device",0.00643,0.01502,133.6,344,2.336
191,"foxnews.com / banner / Set Top Box",0.00643,0.01494,132.4,807,2.324
192,"espn.com / native / Personal Computer",0.00643,0.01493,132.3,346,2.323
194,"tmz.com / native / Connected TV",0.00643,0.01489,131.6,347,2.316
193,"weather.com / video / Connected TV",0.00643,0.01489,131.6,347,2.316
195,"espn.com / banner / Connected TV",0.00643,0.01488,131.5,810,2.315
196,"washingtonpost.com / video / Mobile/Tablet",0.00643,0.01484,130.9,348,2.309
200,"weather.com / video / Personal Computer",0.00643,0.01481,130.3,349,2.303
197,"tmz.com / native / Personal Computer",0.00643,0.01481,130.3,349,2.303
198,"washingtonpost.com / video / Set Top Box",0.00643,0.01481,130.3,349,2.303
199,"tmz.com / video / Set Top Box",0.00643,0.01481,130.3,349,2.303
