"SITE_DOMAIN","AD_FORMAT","DEVICE_TYPE_LABEL","GEO_DMA","CONTENT_GENRE","IMPRESSIONS","PURCHASES","PURCHASE_RATE","YIELD_MULTIPLIER","SUPPORT"
"theverge.com","banner","Connected TV","Philadelphia","",740,6,0.00811,2.172,740
"tmz.com","banner","Connected TV","Dallas-Ft. Worth","",768,3,0.00391,1.046,768
"buzzfeed.com","banner","Connected TV","Philadelphia","",774,0,0.00000,0.000,774
"techcrunch.com","video","Connected Device","Denver","",360,1,0.00278,0.744,360
"espn.com","banner","Connected Device","Dallas-Ft. Worth","",746,1,0.00134,0.359,746
"foxnews.com","banner","Tablet","Phoenix","",787,1,0.00127,0.340,787
"cnet.com","native","Mobile/Tablet","Houston","",404,0,0.00000,0.000,404
"washingtonpost.com","native","Tablet","Atlanta","",420,2,0.00476,1.276,420
"espn.com","video","Set Top Box","Philadelphia","",336,1,0.00298,0.797,336
"cnet.com","banner","Set Top Box","Philadelphia","",748,2,0.00267,0.716,748
"cnet.com","native","Mobile/Tablet","Dallas-Ft. Worth","",364,1,0.00275,0.736,364
"forbes.com","banner","Mobile/Tablet","Los Angeles","",770,3,0.00390,1.044,770
"nytimes.com","video","Connected TV","Houston","",385,2,0.00520,1.392,385
"washingtonpost.com","video","Connected TV","Atlanta","",374,1,0.00267,0.716,374
"theverge.com","native","Personal Computer","Atlanta","",352,1,0.00284,0.761,352
"techcrunch.com","native","Connected Device","Dallas-Ft. Worth","",389,1,0.00257,0.689,389
"bbc.com","native","Connected Device","Philadelphia","",385,3,0.00779,2.087,385
"espn.com","native","Phone","Atlanta","",401,1,0.00249,0.668,401
"bbc.com","video","Tablet","Miami","",383,0,0.00000,0.000,383
"espn.com","video","Connected Device","Atlanta","",377,2,0.00531,1.421,377
"forbes.com","native","Connected Device","Dallas-Ft. Worth","",410,2,0.00488,1.307,410
"tmz.com","native","Tablet","Los Angeles","",349,2,0.00573,1.535,349
"theverge.com","video","Connected Device","Denver","",386,4,0.01036,2.776,386
"techcrunch.com","video","Connected TV","Phoenix","",369,3,0.00813,2.178,369
"tmz.com","native","Connected TV","Phoenix","",351,3,0.00855,2.290,351
"weather.com","video","Connected TV","Atlanta","",344,4,0.01163,3.115,344
"espn.com","native","Mobile/Tablet","Miami","",405,1,0.00247,0.661,405
"cnet.com","native","Set Top Box","Philadelphia","",389,0,0.00000,0.000,389
"buzzfeed.com","native","Connected Device","Denver","",374,1,0.00267,0.716,374
"cnn.com","native","Phone","Houston","",394,0,0.00000,0.000,394
"forbes.com","video","Connected TV","Atlanta","",375,1,0.00267,0.714,375
"theverge.com","banner","Connected TV","Chicago","",758,2,0.00264,0.707,758
"washingtonpost.com","video","Tablet","Denver","",418,1,0.00239,0.641,418
"cnn.com","banner","Personal Computer","Denver","",748,4,0.00535,1.433,748
"theverge.com","video","Tablet","Chicago","",359,0,0.00000,0.000,359
"cnn.com","video","Connected Device","Los Angeles","",387,2,0.00517,1.384,387
"tmz.com","banner","Connected Device","Philadelphia","",764,3,0.00393,1.052,764
"forbes.com","video","Phone","Chicago","",407,2,0.00491,1.316,407
"theverge.com","video","Set Top Box","Miami","",349,1,0.00287,0.767,349
"theverge.com","native","Connected Device","Phoenix","",344,3,0.00872,2.336,344
"variety.com","banner","Mobile/Tablet","Houston","",739,6,0.00812,2.175,739
"cnn.com","native","Mobile/Tablet","Phoenix","",398,3,0.00754,2.019,398
"forbes.com","banner","Connected TV","Dallas-Ft. Worth","",720,3,0.00417,1.116,720
"variety.com","banner","Connected Device","Miami","",798,1,0.00125,0.336,798
"variety.com","video","Set Top Box","Chicago","",384,2,0.00521,1.395,384
"cnet.com","banner","Set Top Box","Chicago","",778,4,0.00514,1.377,778
"washingtonpost.com","banner","Connected Device","Miami","",740,2,0.00270,0.724,740
"foxnews.com","video","Phone","Philadelphia","",382,2,0.00524,1.403,382
"people.com","video","Set Top Box","New York","",416,1,0.00240,0.644,416
"variety.com","video","Tablet","New York","",387,1,0.00258,0.692,387
"people.com","video","Mobile/Tablet","Dallas-Ft. Worth","",385,4,0.01039,2.783,385
"nytimes.com","banner","Set Top Box","Los Angeles","",757,4,0.00528,1.415,757
"espn.com","video","Connected TV","Houston","",383,3,0.00783,2.098,383
"forbes.com","native","Connected TV","Los Angeles","",390,2,0.00513,1.374,390
"foxnews.com","native","Mobile/Tablet","Chicago","",367,1,0.00273,0.730,367
"theverge.com","banner","Connected TV","Dallas-Ft. Worth","",726,1,0.00138,0.369,726
"cnn.com","native","Personal Computer","Chicago","",352,0,0.00000,0.000,352
"weather.com","banner","Connected Device","Houston","",821,3,0.00365,0.979,821
"cnet.com","video","Tablet","Dallas-Ft. Worth","",359,1,0.00279,0.746,359
"washingtonpost.com","native","Phone","Chicago","",399,0,0.00000,0.000,399
"cnn.com","video","Connected TV","Philadelphia","",375,1,0.00267,0.714,375
"techcrunch.com","video","Phone","New York","",351,0,0.00000,0.000,351
"buzzfeed.com","native","Connected Device","Atlanta","",356,0,0.00000,0.000,356
"bbc.com","banner","Mobile/Tablet","Denver","",750,5,0.00667,1.786,750
"weather.com","native","Mobile/Tablet","Atlanta","",406,2,0.00493,1.320,406
"forbes.com","native","Phone","Houston","",374,2,0.00535,1.433,374
"variety.com","native","Connected TV","Miami","",387,1,0.00258,0.692,387
"cnet.com","banner","Mobile/Tablet","Chicago","",758,4,0.00528,1.414,758
"cnet.com","video","Connected Device","Phoenix","",361,0,0.00000,0.000,361
"cnn.com","video","Mobile/Tablet","Miami","",367,0,0.00000,0.000,367
"variety.com","video","Phone","Houston","",391,0,0.00000,0.000,391
"bbc.com","native","Mobile/Tablet","New York","",418,3,0.00718,1.923,418
"tmz.com","video","Connected TV","Chicago","",363,5,0.01377,3.690,363
"washingtonpost.com","banner","Mobile/Tablet","Atlanta","",749,1,0.00134,0.358,749
"theverge.com","banner","Personal Computer","Atlanta","",721,3,0.00416,1.115,721
"variety.com","video","Connected Device","Miami","",388,0,0.00000,0.000,388
"forbes.com","banner","Personal Computer","Los Angeles","",742,2,0.00270,0.722,742
"forbes.com","native","Phone","Phoenix","",392,1,0.00255,0.683,392
"washingtonpost.com","native","Connected Device","Atlanta","",379,0,0.00000,0.000,379
"bbc.com","native","Tablet","Miami","",382,1,0.00262,0.701,382
"forbes.com","video","Connected Device","Chicago","",396,2,0.00505,1.353,396
"people.com","native","Connected Device","Denver","",385,1,0.00260,0.696,385
"variety.com","banner","Phone","Phoenix","",773,2,0.00259,0.693,773
"foxnews.com","video","Connected TV","Dallas-Ft. Worth","",386,1,0.00259,0.694,386
"washingtonpost.com","banner","Tablet","Dallas-Ft. Worth","",774,2,0.00258,0.692,774
"cnet.com","banner","Connected Device","Philadelphia","",725,5,0.00690,1.848,725
"forbes.com","banner","Connected Device","Dallas-Ft. Worth","",772,1,0.00130,0.347,772
"buzzfeed.com","video","Personal Computer","Philadelphia","",390,4,0.01026,2.747,390
"tmz.com","banner","Tablet","New York","",749,3,0.00401,1.073,749
"bbc.com","banner","Connected Device","Phoenix","",769,3,0.00390,1.045,769
"cnet.com","video","Personal Computer","Chicago","",392,0,0.00000,0.000,392
"tmz.com","video","Connected Device","Denver","",376,0,0.00000,0.000,376
"cnn.com","banner","Connected Device","Chicago","",722,0,0.00000,0.000,722
"washingtonpost.com","banner","Connected TV","Denver","",768,5,0.00651,1.744,768
"theverge.com","video","Personal Computer","Denver","",364,2,0.00550,1.472,364
"espn.com","native","Personal Computer","Houston","",375,1,0.00267,0.714,375
"variety.com","banner","Phone","Los Angeles","",788,4,0.00508,1.360,788
"cnn.com","native","Set Top Box","Denver","",326,1,0.00307,0.822,326
"washingtonpost.com","video","Set Top Box","Denver","",393,1,0.00255,0.682,393
"cnet.com","video","Set Top Box","New York","",401,1,0.00249,0.668,401
"cnn.com","banner","Set Top Box","Denver","",801,3,0.00375,1.003,801
"tmz.com","video","Set Top Box","Miami","",349,3,0.00860,2.303,349
"foxnews.com","native","Connected Device","Dallas-Ft. Worth","",388,1,0.00258,0.690,388
"bbc.com","video","Connected Device","Dallas-Ft. Worth","",409,1,0.00245,0.655,409
"forbes.com","video","Mobile/Tablet","Chicago","",373,2,0.00536,1.436,373
"washingtonpost.com","banner","Tablet","Philadelphia","",741,3,0.00405,1.085,741
"nytimes.com","native","Personal Computer","Chicago","",420,0,0.00000,0.000,420
"tmz.com","video","Phone","Denver","",343,3,0.00875,2.343,343
"buzzfeed.com","video","Mobile/Tablet","Philadelphia","",397,0,0.00000,0.000,397
"washingtonpost.com","banner","Personal Computer","Philadelphia","",758,7,0.00924,2.474,758
"weather.com","banner","Connected Device","Atlanta","",739,4,0.00541,1.450,739
"buzzfeed.com","banner","Tablet","Los Angeles","",758,1,0.00132,0.353,758
"cnet.com","native","Connected Device","Los Angeles","",389,2,0.00514,1.377,389
"espn.com","video","Tablet","Los Angeles","",382,2,0.00524,1.403,382
"tmz.com","banner","Tablet","Philadelphia","",743,1,0.00135,0.361,743
"nytimes.com","video","Personal Computer","Dallas-Ft. Worth","",355,0,0.00000,0.000,355
"bbc.com","native","Personal Computer","Philadelphia","",413,2,0.00484,1.297,413
"tmz.com","banner","Mobile/Tablet","Chicago","",754,4,0.00531,1.421,754
"tmz.com","video","Connected Device","Los Angeles","",383,0,0.00000,0.000,383
"foxnews.com","native","Personal Computer","Denver","",383,0,0.00000,0.000,383
"cnn.com","native","Set Top Box","Dallas-Ft. Worth","",410,4,0.00976,2.613,410
"forbes.com","banner","Phone","Philadelphia","",737,3,0.00407,1.091,737
"cnn.com","native","Connected Device","Phoenix","",389,4,0.01028,2.755,389
"tmz.com","banner","Set Top Box","Los Angeles","",802,2,0.00249,0.668,802
"bbc.com","native","Connected TV","New York","",405,1,0.00247,0.661,405
"cnet.com","native","Tablet","New York","",410,3,0.00732,1.960,410
"foxnews.com","banner","Mobile/Tablet","Dallas-Ft. Worth","",682,2,0.00293,0.786,682
"variety.com","banner","Phone","Miami","",703,2,0.00285,0.762,703
"tmz.com","video","Mobile/Tablet","Miami","",366,2,0.00546,1.464,366
"forbes.com","native","Connected Device","Philadelphia","",415,3,0.00723,1.937,415
"espn.com","banner","Phone","Miami","",731,5,0.00684,1.832,731
"nytimes.com","video","Personal Computer","Philadelphia","",393,0,0.00000,0.000,393
"espn.com","video","Connected Device","Phoenix","",370,2,0.00541,1.448,370
"cnn.com","native","Tablet","Miami","",395,0,0.00000,0.000,395
"variety.com","video","Personal Computer","Philadelphia","",381,1,0.00263,0.703,381
"forbes.com","video","Connected TV","Chicago","",393,1,0.00255,0.682,393
"tmz.com","native","Mobile/Tablet","Los Angeles","",406,2,0.00493,1.320,406
"weather.com","native","Set Top Box","Denver","",409,2,0.00489,1.310,409
"people.com","banner","Personal Computer","Houston","",778,0,0.00000,0.000,778
"techcrunch.com","banner","Set Top Box","Chicago","",774,9,0.01163,3.115,774
"nytimes.com","native","Set Top Box","Miami","",400,0,0.00000,0.000,400
"cnn.com","banner","Connected TV","Philadelphia","",831,4,0.00481,1.289,831
"cnet.com","native","Tablet","Los Angeles","",387,1,0.00258,0.692,387
"weather.com","video","Connected Device","Phoenix","",400,1,0.00250,0.670,400
"weather.com","native","Set Top Box","Atlanta","",391,0,0.00000,0.000,391
"tmz.com","native","Connected Device","Philadelphia","",359,0,0.00000,0.000,359
"theverge.com","banner","Phone","Dallas-Ft. Worth","",772,3,0.00389,1.041,772
"nytimes.com","banner","Tablet","Philadelphia","",807,1,0.00124,0.332,807
"techcrunch.com","banner","Tablet","Denver","",783,1,0.00128,0.342,783
"techcrunch.com","native","Phone","Los Angeles","",433,2,0.00462,1.237,433
"bbc.com","banner","Set Top Box","Dallas-Ft. Worth","",807,1,0.00124,0.332,807
"theverge.com","native","Mobile/Tablet","New York","",371,2,0.00539,1.444,371
"forbes.com","native","Personal Computer","Miami","",374,2,0.00535,1.433,374
"techcrunch.com","banner","Personal Computer","Atlanta","",792,3,0.00379,1.015,792
"buzzfeed.com","native","Personal Computer","Dallas-Ft. Worth","",381,2,0.00525,1.406,381
"espn.com","video","Connected TV","Atlanta","",397,2,0.00504,1.350,397
"bbc.com","native","Mobile/Tablet","Los Angeles","",363,0,0.00000,0.000,363
"espn.com","banner","Set Top Box","Philadelphia","",770,0,0.00000,0.000,770
"nytimes.com","video","Set Top Box","Chicago","",381,0,0.00000,0.000,381
"espn.com","native","Set Top Box","New York","",366,0,0.00000,0.000,366
"techcrunch.com","native","Connected Device","Phoenix","",354,0,0.00000,0.000,354
"buzzfeed.com","native","Tablet","New York","",393,1,0.00255,0.682,393
"tmz.com","banner","Connected Device","Miami","",793,2,0.00252,0.676,793
"forbes.com","video","Tablet","Atlanta","",407,1,0.00246,0.658,407
"people.com","native","Tablet","Los Angeles","",375,0,0.00000,0.000,375
"cnet.com","native","Connected TV","Los Angeles","",358,2,0.00559,1.497,358
"bbc.com","native","Phone","New York","",401,1,0.00249,0.668,401
"cnn.com","video","Set Top Box","Phoenix","",373,2,0.00536,1.436,373
"espn.com","video","Tablet","Chicago","",361,1,0.00277,0.742,361
"weather.com","video","Connected TV","Philadelphia","",384,0,0.00000,0.000,384
"tmz.com","video","Connected TV","Houston","",336,1,0.00298,0.797,336
"espn.com","native","Connected TV","New York","",375,4,0.01067,2.857,375
"people.com","video","Mobile/Tablet","Atlanta","",364,2,0.00550,1.472,364
"people.com","native","Tablet","Denver","",379,2,0.00528,1.414,379
"tmz.com","native","Connected Device","Denver","",393,1,0.00255,0.682,393
"theverge.com","native","Personal Computer","Philadelphia","",368,1,0.00272,0.728,368
"forbes.com","video","Set Top Box","Chicago","",386,2,0.00518,1.388,386
"buzzfeed.com","video","Mobile/Tablet","Denver","",373,2,0.00536,1.436,373
"nytimes.com","native","Mobile/Tablet","Phoenix","",409,4,0.00978,2.620,409
"buzzfeed.com","native","Connected TV","Denver","",424,3,0.00708,1.895,424
"espn.com","native","Mobile/Tablet","Houston","",333,2,0.00601,1.609,333
"people.com","native","Connected Device","Los Angeles","",395,1,0.00253,0.678,395
"espn.com","banner","Connected TV","Phoenix","",789,5,0.00634,1.698,789
"techcrunch.com","banner","Connected TV","Los Angeles","",726,0,0.00000,0.000,726
"cnn.com","native","Connected TV","Philadelphia","",371,1,0.00270,0.722,371
"cnn.com","banner","Personal Computer","Phoenix","",763,1,0.00131,0.351,763
"bbc.com","banner","Set Top Box","Los Angeles","",785,2,0.00255,0.683,785
"people.com","banner","Connected TV","Chicago","",746,7,0.00938,2.514,746
"theverge.com","banner","Personal Computer","New York","",745,2,0.00269,0.719,745
"bbc.com","video","Set Top Box","New York","",374,0,0.00000,0.000,374
"theverge.com","video","Phone","New York","",393,1,0.00255,0.682,393
"weather.com","banner","Connected TV","Chicago","",725,3,0.00414,1.108,725
"cnn.com","banner","Personal Computer","Dallas-Ft. Worth","",718,4,0.00557,1.492,718
"bbc.com","video","Connected Device","New York","",350,1,0.00286,0.765,350
"foxnews.com","banner","Phone","New York","",723,4,0.00553,1.482,723
"cnet.com","native","Connected Device","Chicago","",400,1,0.00250,0.670,400
"techcrunch.com","video","Tablet","Phoenix","",390,0,0.00000,0.000,390
"forbes.com","video","Connected TV","Miami","",409,0,0.00000,0.000,409
"washingtonpost.com","native","Personal Computer","Los Angeles","",369,1,0.00271,0.726,369
"foxnews.com","video","Connected TV","Phoenix","",384,3,0.00781,2.093,384
"bbc.com","video","Set Top Box","Phoenix","",380,2,0.00526,1.410,380
"bbc.com","native","Personal Computer","Houston","",363,2,0.00551,1.476,363
"cnet.com","native","Tablet","Houston","",394,0,0.00000,0.000,394
"foxnews.com","video","Set Top Box","New York","",391,1,0.00256,0.685,391
"people.com","native","Mobile/Tablet","Miami","",382,2,0.00524,1.403,382
"weather.com","video","Connected Device","Los Angeles","",385,2,0.00520,1.392,385
"forbes.com","native","Phone","Chicago","",373,0,0.00000,0.000,373
"weather.com","native","Phone","Chicago","",339,2,0.00590,1.580,339
"nytimes.com","video","Personal Computer","Atlanta","",372,2,0.00538,1.440,372
"theverge.com","native","Set Top Box","Dallas-Ft. Worth","",395,0,0.00000,0.000,395
"variety.com","banner","Tablet","Miami","",733,1,0.00136,0.365,733
"people.com","native","Personal Computer","Atlanta","",397,0,0.00000,0.000,397
"washingtonpost.com","native","Phone","Miami","",394,1,0.00254,0.680,394
"nytimes.com","native","Connected Device","New York","",383,0,0.00000,0.000,383
"espn.com","video","Connected Device","New York","",381,2,0.00525,1.406,381
"tmz.com","video","Phone","New York","",398,3,0.00754,2.019,398
"bbc.com","video","Connected Device","Miami","",352,1,0.00284,0.761,352
"forbes.com","video","Personal Computer","Atlanta","",363,1,0.00276,0.738,363
"bbc.com","banner","Connected Device","Dallas-Ft. Worth","",740,3,0.00405,1.086,740
"theverge.com","native","Phone","Philadelphia","",388,2,0.00516,1.381,388
"espn.com","native","Tablet","Denver","",355,1,0.00282,0.755,355
"buzzfeed.com","video","Personal Computer","Denver","",362,1,0.00276,0.740,362
"buzzfeed.com","video","Connected Device","New York","",391,2,0.00512,1.370,391
"people.com","native","Connected TV","Miami","",407,3,0.00737,1.975,407
"washingtonpost.com","native","Connected TV","Phoenix","",382,4,0.01047,2.805,382
"theverge.com","native","Phone","Chicago","",393,0,0.00000,0.000,393
"variety.com","video","Personal Computer","New York","",378,2,0.00529,1.417,378
"nytimes.com","video","Personal Computer","Denver","",380,0,0.00000,0.000,380
"buzzfeed.com","video","Set Top Box","New York","",360,3,0.00833,2.232,360
"buzzfeed.com","video","Connected Device","Houston","",338,2,0.00592,1.585,338
"nytimes.com","native","Mobile/Tablet","Atlanta","",394,3,0.00761,2.040,394
"nytimes.com","native","Phone","New York","",371,0,0.00000,0.000,371
"variety.com","native","Connected TV","Los Angeles","",366,1,0.00273,0.732,366
"people.com","video","Connected TV","Phoenix","",410,6,0.01463,3.920,410
"forbes.com","banner","Connected Device","Phoenix","",775,1,0.00129,0.346,775
"nytimes.com","banner","Connected Device","Philadelphia","",733,0,0.00000,0.000,733
"cnn.com","video","Connected TV","Chicago","",398,0,0.00000,0.000,398
"variety.com","native","Connected Device","New York","",383,2,0.00522,1.399,383
"foxnews.com","banner","Personal Computer","Philadelphia","",718,5,0.00696,1.866,718
"espn.com","banner","Connected TV","Dallas-Ft. Worth","",771,3,0.00389,1.042,771
"nytimes.com","banner","Mobile/Tablet","Phoenix","",751,3,0.00400,1.070,751
"buzzfeed.com","video","Phone","Phoenix","",360,1,0.00278,0.744,360
"nytimes.com","video","Personal Computer","Houston","",406,2,0.00493,1.320,406
"techcrunch.com","banner","Phone","Atlanta","",802,4,0.00499,1.336,802
"theverge.com","native","Set Top Box","Chicago","",385,0,0.00000,0.000,385
"forbes.com","banner","Tablet","Houston","",762,1,0.00131,0.351,762
"theverge.com","banner","Connected TV","New York","",776,3,0.00387,1.036,776
"forbes.com","banner","Connected Device","Atlanta","",763,2,0.00262,0.702,763
"cnn.com","banner","Connected TV","Chicago","",769,3,0.00390,1.045,769
"weather.com","native","Personal Computer","New York","",363,4,0.01102,2.952,363
"variety.com","video","Tablet","Los Angeles","",372,0,0.00000,0.000,372
"bbc.com","banner","Tablet","Miami","",723,3,0.00415,1.111,723
"techcrunch.com","video","Mobile/Tablet","New York","",347,1,0.00288,0.772,347
"forbes.com","banner","Connected Device","New York","",752,2,0.00266,0.713,752
"espn.com","banner","Set Top Box","New York","",761,1,0.00131,0.352,761
"espn.com","native","Connected TV","Atlanta","",384,1,0.00260,0.698,384
"bbc.com","native","Mobile/Tablet","Miami","",419,0,0.00000,0.000,419
"bbc.com","native","Connected Device","New York","",396,0,0.00000,0.000,396
"cnet.com","banner","Set Top Box","Dallas-Ft. Worth","",742,6,0.00809,2.166,742
"techcrunch.com","video","Set Top Box","Atlanta","",381,0,0.00000,0.000,381
"cnet.com","banner","Mobile/Tablet","Los Angeles","",776,2,0.00258,0.690,776
"people.com","banner","Tablet","Chicago","",751,4,0.00533,1.427,751
"washingtonpost.com","native","Mobile/Tablet","Chicago","",373,2,0.00536,1.436,373
"cnn.com","native","Set Top Box","Philadelphia","",361,2,0.00554,1.484,361
"foxnews.com","banner","Set Top Box","Chicago","",749,4,0.00534,1.430,749
"cnet.com","native","Set Top Box","New York","",372,1,0.00269,0.720,372
"espn.com","banner","Mobile/Tablet","Atlanta","",734,5,0.00681,1.825,734
"foxnews.com","video","Connected Device","Philadelphia","",373,1,0.00268,0.718,373
"bbc.com","banner","Connected TV","Miami","",775,4,0.00516,1.383,775
"tmz.com","video","Tablet","Miami","",385,0,0.00000,0.000,385
"bbc.com","video","Connected TV","Miami","",361,1,0.00277,0.742,361
"foxnews.com","banner","Tablet","Atlanta","",766,2,0.00261,0.699,766
"cnn.com","native","Personal Computer","Phoenix","",391,1,0.00256,0.685,391
"foxnews.com","native","Connected TV","Chicago","",383,1,0.00261,0.699,383
"cnet.com","native","Personal Computer","Atlanta","",399,2,0.00501,1.343,399
"cnet.com","banner","Tablet","New York","",770,3,0.00390,1.044,770
"buzzfeed.com","native","Personal Computer","Houston","",388,3,0.00773,2.071,388
"foxnews.com","native","Connected TV","Dallas-Ft. Worth","",398,3,0.00754,2.019,398
