"RULE_ID","PREDICATE","DIM","DIM_VALUE","SUPPORT","PURCHASE_RATE","BASELINE_RATE","RAW_LIFT","SHRUNK_LIFT","BID_MULTIPLIER","CI_LOWER","CI_UPPER","RULE_ACTION","SOURCE_PLATFORM","VALID_FROM","VALID_TO"
96,"Device=tablet AND City=Phoenix","Device x City","tablet_Phoenix",11981,0.023704,0.029932,0.792,0.792,0.79,0.02098,0.026428,"SUPPRESS","ADROLL","2026-09-23","2026-10-23"
97,"CampaignType=brand_awareness","CAMPAIGN_TYPE","brand_awareness",248788,0.023699,0.029932,0.792,0.792,0.79,0.023101,0.024297,"SUPPRESS","ADROLL","2026-09-23","2026-10-23"
98,"Device=tablet AND City=Denver","Device x City","tablet_Denver",16663,0.023645,0.029932,0.79,0.79,0.79,0.021338,0.025952,"SUPPRESS","ADROLL","2026-09-23","2026-10-23"
9,"Device=connected_tv AND City=Philadelphia","Device x City","connected_tv_Philadelphia",11925,0.041342,0.029932,1.381,1.381,1.38,0.037769,0.044915,"BOOST","ADROLL","2026-09-23","2026-10-23"
10,"Channel=web AND Device=desktop","Channel x Device","web_desktop",194129,0.041318,0.029932,1.38,1.38,1.38,0.040433,0.042203,"BOOST","ADROLL","2026-09-23","2026-10-23"
11,"Device=connected_tv AND City=San Francisco","Device x City","connected_tv_San Francisco",16616,0.040202,0.029932,1.343,1.343,1.34,0.037215,0.043189,"BOOST","ADROLL","2026-09-23","2026-10-23"
12,"Device=connected_tv AND City=Seattle","Device x City","connected_tv_Seattle",16508,0.038951,0.029932,1.301,1.301,1.3,0.035999,0.041902,"BOOST","ADROLL","2026-09-23","2026-10-23"
69,"AdSize=728x90","AD_SIZE","728x90",198283,0.029407,0.029932,0.982,0.982,0.98,0.028664,0.030151,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
70,"Channel=facebook AND Device=connected_tv","Channel x Device","facebook_connected_tv",59187,0.029263,0.029932,0.978,0.978,0.98,0.027905,0.030621,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
71,"City=Dallas","CITY","Dallas",110100,0.029137,0.029932,0.973,0.973,0.97,0.028144,0.030131,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
91,"Channel=facebook AND Device=desktop","Channel x Device","facebook_desktop",138783,0.025017,0.029932,0.836,0.836,0.84,0.024196,0.025839,"SUPPRESS","ADROLL","2026-09-23","2026-10-23"
92,"Channel=native AND Device=mobile_phone","Channel x Device","native_mobile_phone",83630,0.024764,0.029932,0.827,0.827,0.83,0.023711,0.025817,"SUPPRESS","ADROLL","2026-09-23","2026-10-23"
93,"Channel=ctv AND Device=tablet","Channel x Device","ctv_tablet",23443,0.024698,0.029932,0.825,0.825,0.83,0.022711,0.026685,"SUPPRESS","ADROLL","2026-09-23","2026-10-23"
94,"Device=tablet AND City=Chicago","Device x City","tablet_Chicago",23493,0.024518,0.029932,0.819,0.819,0.82,0.02254,0.026496,"SUPPRESS","ADROLL","2026-09-23","2026-10-23"
54,"Segment=Demo Requesters","SEGMENT_NAME","Demo Requesters",144121,0.030114,0.029932,1.006,1.006,1.01,0.029231,0.030996,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
55,"AdSize=160x600","AD_SIZE","160x600",197739,0.030045,0.029932,1.004,1.004,1,0.029292,0.030797,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
56,"City=Miami","CITY","Miami",126998,0.03,0.029932,1.002,1.002,1,0.029062,0.030939,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
57,"Segment=Contact Sales Form","SEGMENT_NAME","Contact Sales Form",144739,0.029999,0.029932,1.002,1.002,1,0.02912,0.030878,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
24,"Device=connected_tv AND City=Dallas","Device x City","connected_tv_Dallas",16455,0.036645,0.029932,1.224,1.224,1.22,0.033775,0.039516,"BOOST","ADROLL","2026-09-23","2026-10-23"
25,"Channel=web AND Device=mobile_phone","Channel x Device","web_mobile_phone",193860,0.03551,0.029932,1.186,1.186,1.19,0.034686,0.036334,"BOOST","ADROLL","2026-09-23","2026-10-23"
26,"Channel=native AND Device=connected_tv","Channel x Device","native_connected_tv",35796,0.034808,0.029932,1.163,1.163,1.16,0.03291,0.036707,"BOOST","ADROLL","2026-09-23","2026-10-23"
27,"Channel=ctv AND Device=desktop","Channel x Device","ctv_desktop",55708,0.033442,0.029932,1.117,1.117,1.12,0.031949,0.034935,"BOOST","ADROLL","2026-09-23","2026-10-23"
72,"Segment=Signup Plan","SEGMENT_NAME","Signup Plan",71848,0.029047,0.029932,0.97,0.97,0.97,0.027819,0.030275,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
73,"Device=mobile_phone AND City=Philadelphia","Device x City","mobile_phone_Philadelphia",27817,0.028328,0.029932,0.946,0.946,0.95,0.026378,0.030278,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
74,"Device=mobile_phone AND City=San Francisco","Device x City","mobile_phone_San Francisco",38922,0.028262,0.029932,0.944,0.944,0.94,0.026615,0.029908,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
75,"Device=mobile_phone AND City=Los Angeles","Device x City","mobile_phone_Los Angeles",71933,0.028193,0.029932,0.942,0.942,0.94,0.026983,0.029403,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
16,"Device=connected_tv AND City=Atlanta","Device x City","connected_tv_Atlanta",16501,0.038725,0.029932,1.294,1.294,1.29,0.035781,0.041669,"BOOST","ADROLL","2026-09-23","2026-10-23"
17,"Device=connected_tv AND City=Los Angeles","Device x City","connected_tv_Los Angeles",31140,0.038536,0.029932,1.287,1.287,1.29,0.036398,0.040674,"BOOST","ADROLL","2026-09-23","2026-10-23"
18,"Device=connected_tv","DEVICE","connected_tv",237420,0.038459,0.029932,1.285,1.285,1.28,0.037686,0.039233,"BOOST","ADROLL","2026-09-23","2026-10-23"
35,"Device=desktop AND City=New York","Device x City","desktop_New York",83271,0.031656,0.029932,1.058,1.058,1.06,0.030466,0.032845,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
36,"Device=desktop","DEVICE","desktop",554385,0.031603,0.029932,1.056,1.056,1.06,0.031142,0.032063,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
37,"Device=desktop AND City=Seattle","Device x City","desktop_Seattle",38818,0.031454,0.029932,1.051,1.051,1.05,0.029718,0.033191,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
38,"Device=desktop AND City=San Francisco","Device x City","desktop_San Francisco",38666,0.031371,0.029932,1.048,1.048,1.05,0.029634,0.033109,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
5,"CampaignType=retargeting","CAMPAIGN_TYPE","retargeting",331705,0.049891,0.029932,1.667,1.667,1.67,0.04915,0.050632,"BOOST","ADROLL","2026-09-23","2026-10-23"
6,"Channel=native AND Attribution=click_through","Channel x Attribution","native_click_through",83108,0.046879,0.029932,1.566,1.566,1.57,0.045442,0.048316,"BOOST","ADROLL","2026-09-23","2026-10-23"
7,"Channel=ctv AND Device=connected_tv","Channel x Device","ctv_connected_tv",23587,0.042142,0.029932,1.408,1.408,1.41,0.039578,0.044706,"BOOST","ADROLL","2026-09-23","2026-10-23"
8,"Channel=facebook AND Attribution=click_through","Channel x Attribution","facebook_click_through",138854,0.04177,0.029932,1.396,1.396,1.4,0.040718,0.042823,"BOOST","ADROLL","2026-09-23","2026-10-23"
99,"Device=tablet AND City=Dallas","Device x City","tablet_Dallas",16479,0.023484,0.029932,0.785,0.785,0.78,0.021172,0.025797,"SUPPRESS","ADROLL","2026-09-23","2026-10-23"
100,"Device=tablet","DEVICE","tablet",237071,0.023482,0.029932,0.785,0.785,0.78,0.022873,0.024092,"SUPPRESS","ADROLL","2026-09-23","2026-10-23"
101,"CampaignType=prospecting","CAMPAIGN_TYPE","prospecting",844702,0.023477,0.029932,0.784,0.784,0.78,0.023154,0.0238,"SUPPRESS","ADROLL","2026-09-23","2026-10-23"
102,"Channel=facebook","CHANNEL","facebook",395842,0.02331,0.029932,0.779,0.779,0.78,0.02284,0.02378,"SUPPRESS","ADROLL","2026-09-23","2026-10-23"
109,"Channel=instagram","CHANNEL","instagram",237189,0.0217,0.029932,0.725,0.725,0.72,0.021114,0.022286,"SUPPRESS","ADROLL","2026-09-23","2026-10-23"
110,"Channel=facebook AND Device=mobile_phone","Channel x Device","facebook_mobile_phone",138414,0.02093,0.029932,0.699,0.699,0.7,0.020176,0.021684,"SUPPRESS","ADROLL","2026-09-23","2026-10-23"
111,"Device=tablet AND City=Atlanta","Device x City","tablet_Atlanta",16647,0.020905,0.029932,0.698,0.698,0.7,0.018731,0.023078,"SUPPRESS","ADROLL","2026-09-23","2026-10-23"
112,"Channel=native AND Device=tablet","Channel x Device","native_tablet",35512,0.019909,0.029932,0.665,0.665,0.67,0.018456,0.021362,"SUPPRESS","ADROLL","2026-09-23","2026-10-23"
113,"Channel=instagram AND Device=mobile_phone","Channel x Device","instagram_mobile_phone",83153,0.019747,0.029932,0.66,0.66,0.66,0.018801,0.020692,"SUPPRESS","ADROLL","2026-09-23","2026-10-23"
42,"Device=desktop AND City=Denver","Device x City","desktop_Denver",38902,0.030667,0.029932,1.025,1.025,1.02,0.028953,0.03238,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
43,"City=Houston","CITY","Houston",142802,0.030525,0.029932,1.02,1.02,1.02,0.029633,0.031417,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
44,"City=Philadelphia","CITY","Philadelphia",79084,0.030474,0.029932,1.018,1.018,1.02,0.029276,0.031672,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
45,"Device=desktop AND City=Dallas","Device x City","desktop_Dallas",38574,0.030409,0.029932,1.016,1.016,1.02,0.028696,0.032123,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
39,"Device=desktop AND City=Philadelphia","Device x City","desktop_Philadelphia",27633,0.031303,0.029932,1.046,1.046,1.05,0.02925,0.033356,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
40,"AdSize=300x600","AD_SIZE","300x600",197671,0.030824,0.029932,1.03,1.03,1.03,0.030062,0.031586,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
41,"City=Los Angeles","CITY","Los Angeles",205889,0.03073,0.029932,1.027,1.027,1.03,0.029985,0.031476,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
19,"Device=connected_tv AND City=Phoenix","Device x City","connected_tv_Phoenix",11671,0.038129,0.029932,1.274,1.274,1.27,0.034654,0.041603,"BOOST","ADROLL","2026-09-23","2026-10-23"
20,"Device=connected_tv AND City=Chicago","Device x City","connected_tv_Chicago",23635,0.03791,0.029932,1.267,1.267,1.27,0.035475,0.040345,"BOOST","ADROLL","2026-09-23","2026-10-23"
21,"Device=connected_tv AND City=Houston","Device x City","connected_tv_Houston",21306,0.037877,0.029932,1.265,1.265,1.27,0.035313,0.04044,"BOOST","ADROLL","2026-09-23","2026-10-23"
22,"Device=connected_tv AND City=Denver","Device x City","connected_tv_Denver",16835,0.03766,0.029932,1.258,1.258,1.26,0.034784,0.040535,"BOOST","ADROLL","2026-09-23","2026-10-23"
23,"Device=connected_tv AND City=Miami","Device x City","connected_tv_Miami",18920,0.037474,0.029932,1.252,1.252,1.25,0.034767,0.04018,"BOOST","ADROLL","2026-09-23","2026-10-23"
32,"Device=desktop AND City=Houston","Device x City","desktop_Houston",50250,0.032199,0.029932,1.076,1.076,1.08,0.030656,0.033742,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
33,"Device=desktop AND City=Los Angeles","Device x City","desktop_Los Angeles",71947,0.03219,0.029932,1.075,1.075,1.08,0.030901,0.03348,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
34,"Device=desktop AND City=Phoenix","Device x City","desktop_Phoenix",27731,0.031878,0.029932,1.065,1.065,1.07,0.02981,0.033945,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
1,"Channel=web AND Attribution=click_through","Channel x Attribution","web_click_through",193789,0.069674,0.029932,2.328,2.328,2.33,0.06854,0.070807,"BOOST","ADROLL","2026-09-23","2026-10-23"
2,"Channel=ctv AND Attribution=click_through","Channel x Attribution","ctv_click_through",55508,0.058244,0.029932,1.946,1.946,1.95,0.056295,0.060192,"BOOST","ADROLL","2026-09-23","2026-10-23"
3,"Attribution=click_through","CONVERSION_TYPE","click_through",554215,0.053495,0.029932,1.787,1.787,1.79,0.052903,0.054088,"BOOST","ADROLL","2026-09-23","2026-10-23"
4,"Channel=web AND Device=connected_tv","Channel x Device","web_connected_tv",83163,0.050118,0.029932,1.674,1.674,1.67,0.048635,0.051601,"BOOST","ADROLL","2026-09-23","2026-10-23"
58,"Segment=Add to Cart","SEGMENT_NAME","Add to Cart",574819,0.029962,0.029932,1.001,1.001,1,0.029522,0.030403,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
59,"Segment=Checkout Complete","SEGMENT_NAME","Checkout Complete",143975,0.029887,0.029932,0.999,0.999,1,0.029008,0.030767,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
60,"AdSize=320x50","AD_SIZE","320x50",198144,0.029797,0.029932,0.995,0.995,1,0.029048,0.030545,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
76,"Device=mobile_phone AND City=Phoenix","Device x City","mobile_phone_Phoenix",27720,0.027958,0.029932,0.934,0.934,0.93,0.026017,0.029899,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
77,"Device=mobile_phone AND City=Houston","Device x City","mobile_phone_Houston",49775,0.027926,0.029932,0.933,0.933,0.93,0.026478,0.029373,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
78,"Channel=instagram AND Device=connected_tv","Channel x Device","instagram_connected_tv",35687,0.027769,0.029932,0.928,0.928,0.93,0.026064,0.029474,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
46,"City=San Francisco","CITY","San Francisco",110722,0.030373,0.029932,1.015,1.015,1.01,0.029363,0.031384,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
47,"AdSize=970x250","AD_SIZE","970x250",197799,0.030359,0.029932,1.014,1.014,1.01,0.029603,0.031115,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
48,"Channel=ctv AND Device=mobile_phone","Channel x Device","ctv_mobile_phone",55702,0.030322,0.029932,1.013,1.013,1.01,0.028898,0.031746,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
49,"Device=desktop AND City=Chicago","Device x City","desktop_Chicago",55414,0.030227,0.029932,1.01,1.01,1.01,0.028801,0.031653,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
50,"Segment=Trial Signups","SEGMENT_NAME","Trial Signups",216423,0.030214,0.029932,1.009,1.009,1.01,0.029493,0.030935,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
51,"Channel=web AND Device=tablet","Channel x Device","web_tablet",82907,0.03019,0.029932,1.009,1.009,1.01,0.029026,0.031355,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
52,"City=Phoenix","CITY","Phoenix",79103,0.030188,0.029932,1.009,1.009,1.01,0.028996,0.031381,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
53,"AdSize=300x250","AD_SIZE","300x250",198096,0.030142,0.029932,1.007,1.007,1.01,0.029389,0.030895,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
118,"Channel=native AND Attribution=view_through","Channel x Attribution","native_view_through",154997,0.015678,0.029932,0.524,0.524,0.52,0.015059,0.016296,"SUPPRESS","ADROLL","2026-09-23","2026-10-23"
119,"Channel=facebook AND Attribution=view_through","Channel x Attribution","facebook_view_through",256988,0.013335,0.029932,0.446,0.446,0.45,0.012892,0.013779,"SUPPRESS","ADROLL","2026-09-23","2026-10-23"
120,"Channel=instagram AND Attribution=view_through","Channel x Attribution","instagram_view_through",154233,0.012514,0.029932,0.418,0.418,0.42,0.011959,0.013068,"SUPPRESS","ADROLL","2026-09-23","2026-10-23"
106,"Channel=web AND Attribution=view_through","Channel x Attribution","web_view_through",360270,0.022411,0.029932,0.749,0.749,0.75,0.021928,0.022894,"SUPPRESS","ADROLL","2026-09-23","2026-10-23"
107,"Device=tablet AND City=New York","Device x City","tablet_New York",35626,0.022034,0.029932,0.736,0.736,0.74,0.02051,0.023559,"SUPPRESS","ADROLL","2026-09-23","2026-10-23"
108,"Device=tablet AND City=Seattle","Device x City","tablet_Seattle",16653,0.021738,0.029932,0.726,0.726,0.73,0.019523,0.023953,"SUPPRESS","ADROLL","2026-09-23","2026-10-23"
103,"Device=tablet AND City=San Francisco","Device x City","tablet_San Francisco",16518,0.023126,0.029932,0.773,0.773,0.77,0.020834,0.025418,"SUPPRESS","ADROLL","2026-09-23","2026-10-23"
104,"Device=tablet AND City=Philadelphia","Device x City","tablet_Philadelphia",11709,0.022547,0.029932,0.753,0.753,0.75,0.019858,0.025236,"SUPPRESS","ADROLL","2026-09-23","2026-10-23"
105,"Channel=instagram AND Device=desktop","Channel x Device","instagram_desktop",82598,0.022543,0.029932,0.753,0.753,0.75,0.021531,0.023555,"SUPPRESS","ADROLL","2026-09-23","2026-10-23"
114,"Channel=facebook AND Device=tablet","Channel x Device","facebook_tablet",59458,0.018938,0.029932,0.633,0.633,0.63,0.017842,0.020033,"SUPPRESS","ADROLL","2026-09-23","2026-10-23"
115,"Channel=ctv AND Attribution=view_through","Channel x Attribution","ctv_view_through",102932,0.018381,0.029932,0.614,0.614,0.61,0.01756,0.019202,"SUPPRESS","ADROLL","2026-09-23","2026-10-23"
116,"Channel=instagram AND Device=tablet","Channel x Device","instagram_tablet",35751,0.018237,0.029932,0.609,0.609,0.61,0.01685,0.019624,"SUPPRESS","ADROLL","2026-09-23","2026-10-23"
117,"Attribution=view_through","CONVERSION_TYPE","view_through",1029420,0.017246,0.029932,0.576,0.576,0.58,0.016994,0.017497,"SUPPRESS","ADROLL","2026-09-23","2026-10-23"
28,"Device=desktop AND City=Atlanta","Device x City","desktop_Atlanta",38843,0.032927,0.029932,1.1,1.1,1.1,0.031153,0.034702,"BOOST","ADROLL","2026-09-23","2026-10-23"
29,"Device=desktop AND City=Miami","Device x City","desktop_Miami",44336,0.032637,0.029932,1.09,1.09,1.09,0.030983,0.034291,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
30,"Channel=ctv","CHANNEL","ctv",158440,0.032347,0.029932,1.081,1.081,1.08,0.031475,0.033218,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
31,"CampaignType=ctv","CAMPAIGN_TYPE","ctv",158440,0.032347,0.029932,1.081,1.081,1.08,0.031475,0.033218,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
79,"Channel=native AND Device=desktop","Channel x Device","native_desktop",83167,0.027679,0.029932,0.925,0.925,0.92,0.026564,0.028794,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
80,"Device=mobile_phone AND City=Denver","Device x City","mobile_phone_Denver",38835,0.027449,0.029932,0.917,0.917,0.92,0.025824,0.029075,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
81,"Device=mobile_phone","DEVICE","mobile_phone",554759,0.027369,0.029932,0.914,0.914,0.91,0.026939,0.027798,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
82,"Device=mobile_phone AND City=Seattle","Device x City","mobile_phone_Seattle",39054,0.027116,0.029932,0.906,0.906,0.91,0.025505,0.028727,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
83,"Device=mobile_phone AND City=Dallas","Device x City","mobile_phone_Dallas",38592,0.027078,0.029932,0.905,0.905,0.9,0.025459,0.028698,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
84,"Device=mobile_phone AND City=Chicago","Device x City","mobile_phone_Chicago",55076,0.027035,0.029932,0.903,0.903,0.9,0.025681,0.02839,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
85,"Device=mobile_phone AND City=New York","Device x City","mobile_phone_New York",83323,0.026907,0.029932,0.899,0.899,0.9,0.025809,0.028006,"SUPPRESS","ADROLL","2026-09-23","2026-10-23"
86,"Device=mobile_phone AND City=Miami","Device x City","mobile_phone_Miami",44780,0.026708,0.029932,0.892,0.892,0.89,0.025215,0.028202,"SUPPRESS","ADROLL","2026-09-23","2026-10-23"
