"DOMAIN","COMPANY_NAME","COMPANY_INDUSTRY","COMPANY_REVENUE","COMPANY_SIZE","JOURNEY_STAGE","FIRST_VISIT_DATE","TOTAL_VISITS","TOTAL_VISITORS","CONTACT_EMAIL_SHA256"
"vertex-tech.com","Vertex Tech","Legal Services","Small ($1MM-$10MM)","Small (10-49)","Engaged","2026-05-29",97,11,"139a61ade624451fba415de496d4a33b7b9c7d1d2efdf8d50cf30dedcd65441d"
"clear-net.com","Clear Net","Education Management","Large ($100MM-$200MM)","Large (1,000-4,999)","Opportunity","2026-06-06",423,38,""
"green-systems.com","Green Systems","Entertainment","Micro ($0-$1MM)","Micro (1-9)","Aware","2026-05-08",18,5,""
"atlas-media.com","Atlas Media","Education Management","XLarge ($200MM-$1B)","Large (1,000-4,999)","Aware","2026-07-27",9,3,"1aded760526518a04885ffd1872609e156bd40ae24ed8cd76c6672fb849bfac4"
"nexus-labs.com","Nexus Labs","Telecommunications","XLarge ($200MM-$1B)","XLarge (5,000-10,000)","Unaware","2026-04-06",4,1,"27ea484f242b93e58656603f1d9ba8fc270bdfb30c52927d6de8bcb3fcff2552"
"core-hub.com","Core Hub","Financial Services","Small ($1MM-$10MM)","Medium-Small (50-199)","Unaware","2026-05-12",5,1,"bcc8a7a08a4af4f077910021da3cf358c99f08f230f493946ade9055284adc7a"
"blue-works.com","Blue Works","Education Management","Small ($1MM-$10MM)","Small (10-49)","Engaged","2026-06-17",18,9,"3e3cb35b3f7f76bf2eb872cf05737632b44ecdb3e69642765d0f944ddd39a016"
"apex-net.com","Apex Net","Telecommunications","Small ($1MM-$10MM)","Small (10-49)","Aware","2026-04-18",19,5,""
"clear-tech.com","Clear Tech","Legal Services","XXLarge ($1B+)","XXLarge (10,000+)","Unaware","2026-09-01",2,1,""
"nova-solutions.com","Nova Solutions","Logistics and Supply Chain","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","Unaware","2026-08-08",1,1,"61f8f0feb71f1870f23ecdd98b7cdbe7a1c18a9255c1528edb5c8a9f72e86f11"
"blue-hub.com","Blue Hub","Automotive","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","Unaware","2026-03-30",3,1,"d74364da0352f297019147b5548a5c2da8ba09b05e8894650cf4ff3b9def88fd"
"bright-labs.com","Bright Labs","Retail","XXLarge ($1B+)","XXLarge (10,000+)","Unaware","2026-04-24",1,1,"99f9a2723362a5649911778271216e97f02bbccd1e70ada28edf71891e36b0f0"
"iron-net.com","Iron Net","Software / Information Technology","Micro ($0-$1MM)","Micro (1-9)","MQL","2026-08-19",85,25,""
"vertex-labs.com","Vertex Labs","Software / Information Technology","Micro ($0-$1MM)","Small (10-49)","Unaware","2026-06-22",2,1,""
"nexus-net.com","Nexus Net","Logistics and Supply Chain","Large ($100MM-$200MM)","Large (1,000-4,999)","Aware","2026-05-27",4,3,"0b777ead2957647f8fde6f9ee7bbeca4973555a38a181acd6101154894a4b6ab"
"swift-inc.com","Swift Inc","E-Learning","Micro ($0-$1MM)","Micro (1-9)","Engaged","2026-07-12",27,13,""
"acme-cloud.com","Acme Cloud","Health, Wellness and Fitness","Small ($1MM-$10MM)","Medium-Small (50-199)","Aware","2026-07-28",18,1,"e729ade0830cc0b6ded6bf33394faf2cd967d08203a15a7a67eb9b4e7b56ee78"
"smart-systems.com","Smart Systems","Health, Wellness and Fitness","Micro ($0-$1MM)","Micro (1-9)","Unaware","2026-05-30",4,1,"bbc7d34764756c4fa7b9cc283b6f97a4cd3826cfd2d7b2699c7bc431d196e46f"
"cyber-digital.com","Cyber Digital","Software / Information Technology","Large ($100MM-$200MM)","Medium-Large (500-999)","Aware","2026-06-04",12,5,""
"blue-corp.com","Blue Corp","Hospital & Health Care","Small ($1MM-$10MM)","Medium-Small (50-199)","Aware","2026-09-18",21,5,""
"nexus-group.com","Nexus Group","Marketing and Advertising","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","Unaware","2026-04-10",5,1,""
"bright-tech.com","Bright Tech","Entertainment","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Unaware","2026-08-16",2,1,""
"cyber-net.com","Cyber Net","Marketing and Advertising","XXLarge ($1B+)","XXLarge (10,000+)","Unaware","2026-08-23",3,1,""
"rapid-works.com","Rapid Works","Financial Services","Micro ($0-$1MM)","Micro (1-9)","MQL","2026-07-31",87,21,""
"stellar-cloud.com","Stellar Cloud","Marketing and Advertising","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","MQL","2026-07-15",192,29,""
"smart-inc.com","Smart Inc","Software / Information Technology","Micro ($0-$1MM)","Micro (1-9)","Aware","2026-07-19",3,3,"df798ab6ff48e445639ea5c4437a347bca48ffbb8dd40e4db8b4778b83902556"
"nexus-corp.com","Nexus Corp","Financial Services","Micro ($0-$1MM)","Small (10-49)","Aware","2026-04-21",6,4,""
"clear-solutions.com","Clear Solutions","Consumer Goods","Micro ($0-$1MM)","Micro (1-9)","Opportunity","2026-05-17",479,21,"b58350f624b639f26b18cf7daf21b30d57d5422db7ee38675d0fc0d359880934"
"bright-digital.com","Bright Digital","Health, Wellness and Fitness","Large ($100MM-$200MM)","Large (1,000-4,999)","Unaware","2026-08-13",4,1,""
"rapid-io.com","Rapid Io","Software / Information Technology","Small ($1MM-$10MM)","Small (10-49)","Unaware","2026-03-28",1,1,"bb81f4ce15d164400ce889d075d726d2749cf1d1c25734c39989c59fd4a3a221"
"apex-corp.com","Apex Corp","Health, Wellness and Fitness","Small ($1MM-$10MM)","Small (10-49)","MQL","2026-08-10",114,9,"8f184802810e859ce9053b6281d23c8715d45b29403d9f0d51826138343f691c"
"cyber-solutions.com","Cyber Solutions","Software / Information Technology","Medium-Large ($50MM-$100MM)","Medium (200-499)","MQL","2026-08-03",58,12,"37f08ce28f6cbd74988601779f67855a04035e480c5d2ef5fc23d5035768f99a"
"global-net.com","Global Net","Real Estate","Large ($100MM-$200MM)","Medium-Large (500-999)","Unaware","2026-07-29",3,1,"fca56738f045f685916b0202ac770238519a3e882eb9d303a673a8b36866f282"
"global-media.com","Global Media","Marketing and Advertising","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Engaged","2026-04-29",80,5,"d604ccae2b636895d3b0d3b91d4abc3ac30d3e8103b49018e325015c444ab7f5"
"peak-systems.com","Peak Systems","Food & Beverages","Small ($1MM-$10MM)","Small (10-49)","Engaged","2026-09-10",81,17,""
"bright-media.com","Bright Media","Health, Wellness and Fitness","Small ($1MM-$10MM)","Small (10-49)","Aware","2026-07-29",16,2,"86b2c28853518e2a0275caa536c3d59d83f2bef44c76d8f855d033951e05cfd6"
"acme-digital.com","Acme Digital","Manufacturing","Small ($1MM-$10MM)","Medium-Small (50-199)","Opportunity","2026-09-13",426,37,""
"smart-inc.com","Smart Inc","Consumer Goods","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","Aware","2026-05-27",19,1,"c31bd3afcc9d2b4adf116d05dad1c56b9df73fd4fc2b5ff2feee8474f626061e"
"smart-systems.com","Smart Systems","Telecommunications","Small ($1MM-$10MM)","Small (10-49)","Aware","2026-08-17",16,4,"793e7713c69c5abee358b921c963db40cfca55175fb354d773d87a8f43176666"
"apex-media.com","Apex Media","Health, Wellness and Fitness","Small ($1MM-$10MM)","Medium-Small (50-199)","Engaged","2026-04-26",14,15,""
"rapid-data.com","Rapid Data","Software / Information Technology","Small ($1MM-$10MM)","Small (10-49)","Unaware","2026-08-04",5,1,"bc0dd379ec8f1f6b29315a018c4ee3dbf3a3d02f04d4102c3826f225a6be1351"
"iron-io.com","Iron Io","Health, Wellness and Fitness","Micro ($0-$1MM)","Small (10-49)","Unaware","2026-07-18",4,1,""
"nexus-data.com","Nexus Data","Manufacturing","Small ($1MM-$10MM)","Medium-Small (50-199)","MQL","2026-07-31",73,21,""
"peak-labs.com","Peak Labs","Financial Services","Small ($1MM-$10MM)","Small (10-49)","Aware","2026-08-28",15,5,""
"apex-io.com","Apex Io","Health, Wellness and Fitness","Medium-Small ($10MM-$50MM)","Medium (200-499)","Unaware","2026-08-24",3,1,"870231b720e2537e33ba8e3a92731df2ee3a949b7678bb4bd9f4aaac2f7b2e6e"
"blue-media.com","Blue Media","Software / Information Technology","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","Aware","2026-09-10",9,5,""
"swift-cloud.com","Swift Cloud","Insurance","Medium-Small ($10MM-$50MM)","Medium (200-499)","Unaware","2026-05-09",3,1,""
"acme-digital.com","Acme Digital","Telecommunications","Medium-Small ($10MM-$50MM)","Medium (200-499)","MQL","2026-06-21",145,16,"461f97bc8616e73bbbfeabc5174cf9dfceada0bd1263af117d14cb2d826f075a"
"green-labs.com","Green Labs","Marketing and Advertising","Micro ($0-$1MM)","Micro (1-9)","Unaware","2026-06-29",1,1,""
"acme-inc.com","Acme Inc","Retail","Medium-Large ($50MM-$100MM)","Medium (200-499)","Aware","2026-04-29",19,1,"3a6b30b41ce9147671cbc1c752d9db21290ede073340e8537e8fcae7ab1e3fa3"
"clear-net.com","Clear Net","Health, Wellness and Fitness","Large ($100MM-$200MM)","Medium-Large (500-999)","MQL","2026-05-10",140,15,"397bebfac10465ddf341e3c6f2d7b9102d5ac783fd768767321804e84a20aeaa"
"stellar-io.com","Stellar Io","Telecommunications","Micro ($0-$1MM)","Micro (1-9)","Aware","2026-03-30",4,3,"7b594f1f72195d4d9eafe50681b4850945698cef69eea3a0b3c96d2ba560c859"
"nexus-labs.com","Nexus Labs","Retail","Small ($1MM-$10MM)","Medium-Small (50-199)","Aware","2026-07-22",22,3,"169b52f405f0d6db97d400c7cbe865b47e4326f5ad2dd8a5379a0134af61c536"
"core-labs.com","Core Labs","Health, Wellness and Fitness","Micro ($0-$1MM)","Micro (1-9)","Unaware","2026-04-08",5,1,""
"cyber-digital.com","Cyber Digital","Real Estate","Small ($1MM-$10MM)","Small (10-49)","Unaware","2026-07-10",1,1,"1b15975af100612253a8c3fed55de4d6f1cc3bbc5586bb7e5d559e45e6e845c2"
"swift-digital.com","Swift Digital","E-Learning","Micro ($0-$1MM)","Micro (1-9)","Unaware","2026-07-27",2,1,"02610a20ec0bd6f877ebbc209802174f26c254b7402dc392cf3b020591ac98ec"
"clear-data.com","Clear Data","Consumer Goods","Medium-Small ($10MM-$50MM)","Medium (200-499)","Engaged","2026-06-19",44,15,""
"nova-labs.com","Nova Labs","Food & Beverages","Micro ($0-$1MM)","Micro (1-9)","Aware","2026-06-25",18,3,"25e529958ff646f7c98ecad011d71289e96690856dc66e527a0911fd6697eacf"
"smart-tech.com","Smart Tech","Software / Information Technology","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","Aware","2026-07-10",11,4,""
"bright-digital.com","Bright Digital","Retail","Large ($100MM-$200MM)","Large (1,000-4,999)","Engaged","2026-04-29",30,14,""
"nexus-works.com","Nexus Works","Financial Services","Small ($1MM-$10MM)","Medium-Small (50-199)","MQL","2026-08-05",63,13,"f652de9535293e4abf8bee45a6d2eab50b109730e9839a2c2f2b18001e3e8898"
"blue-hub.com","Blue Hub","E-Learning","Small ($1MM-$10MM)","Medium-Small (50-199)","Aware","2026-07-23",16,5,""
"rapid-group.com","Rapid Group","Legal Services","XLarge ($200MM-$1B)","XLarge (5,000-10,000)","MQL","2026-04-05",226,28,""
"prime-corp.com","Prime Corp","Management Consulting","Micro ($0-$1MM)","Micro (1-9)","Unaware","2026-05-12",3,1,"3e37af355aa840452a59067a09640598d423ad747d736edeef960e1bc766fcb9"
"rapid-inc.com","Rapid Inc","Software / Information Technology","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","Unaware","2026-07-27",3,1,"6becc549b345df01a364fb104d1a64fac0f2c8c78595bac94d0bf557a5b4cf57"
"smart-works.com","Smart Works","Education Management","Large ($100MM-$200MM)","Large (1,000-4,999)","MQL","2026-06-06",216,29,""
"rapid-media.com","Rapid Media","Retail","Micro ($0-$1MM)","Micro (1-9)","Engaged","2026-05-21",102,14,""
"bright-digital.com","Bright Digital","Financial Services","Small ($1MM-$10MM)","Medium-Small (50-199)","Aware","2026-08-17",13,4,""
"clear-solutions.com","Clear Solutions","Marketing and Advertising","XXLarge ($1B+)","XXLarge (10,000+)","MQL","2026-08-08",186,16,"9b3319588c7e44a2c9bf1ca081c28ec58ba7215b2058d0d768d11ad310109825"
"apex-tech.com","Apex Tech","Automotive","Large ($100MM-$200MM)","Medium-Large (500-999)","Engaged","2026-06-09",38,6,"9c66c869f5049556bd15c0df835a19d0c34fbf17455a02de97935f4963869684"
"smart-corp.com","Smart Corp","Entertainment","Micro ($0-$1MM)","Micro (1-9)","Engaged","2026-04-16",95,17,""
"nexus-inc.com","Nexus Inc","Manufacturing","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Unaware","2026-03-28",4,1,""
"acme-works.com","Acme Works","Marketing and Advertising","XXLarge ($1B+)","XXLarge (10,000+)","Engaged","2026-08-18",74,16,""
"nexus-net.com","Nexus Net","Manufacturing","Micro ($0-$1MM)","Micro (1-9)","Aware","2026-08-04",18,2,"d9ab0fef42df13a3344e6a0c0e08d1b9a48711c8a28fca76b0826f22d3d6774c"
"prime-tech.com","Prime Tech","Entertainment","Large ($100MM-$200MM)","Large (1,000-4,999)","Unaware","2026-05-15",2,1,""
"iron-works.com","Iron Works","Marketing and Advertising","Small ($1MM-$10MM)","Medium-Small (50-199)","Engaged","2026-08-06",23,13,""
"smart-net.com","Smart Net","Hospital & Health Care","Micro ($0-$1MM)","Small (10-49)","Engaged","2026-04-25",23,13,""
"vertex-systems.com","Vertex Systems","Software / Information Technology","Medium-Small ($10MM-$50MM)","Medium (200-499)","Engaged","2026-04-17",71,18,""
"clear-inc.com","Clear Inc","Automotive","XLarge ($200MM-$1B)","Large (1,000-4,999)","Unaware","2026-08-03",1,1,""
"blue-inc.com","Blue Inc","Retail","Small ($1MM-$10MM)","Small (10-49)","Aware","2026-07-27",20,6,""
"smart-corp.com","Smart Corp","Financial Services","Micro ($0-$1MM)","Small (10-49)","Unaware","2026-09-05",3,1,"f005a90a7b4485655ad2d581a67566e1a9a83433ebb73aa1f986499bea95835a"
"global-tech.com","Global Tech","E-Learning","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Opportunity","2026-06-07",224,15,"a0a3b7fc9c8feb5e58d2f01c637b7d9754e0a7ab7c664ce91dff6bf13a38c22e"
"bright-cloud.com","Bright Cloud","Software / Information Technology","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","Opportunity","2026-05-04",138,37,""
"nova-net.com","Nova Net","Management Consulting","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Engaged","2026-04-07",44,15,""
"apex-group.com","Apex Group","Software / Information Technology","Medium-Small ($10MM-$50MM)","Medium (200-499)","Aware","2026-03-31",4,5,""
"stellar-net.com","Stellar Net","Marketing and Advertising","Medium-Small ($10MM-$50MM)","Medium (200-499)","Aware","2026-04-30",10,5,""
"iron-systems.com","Iron Systems","Marketing and Advertising","Large ($100MM-$200MM)","Large (1,000-4,999)","Opportunity","2026-07-26",197,38,""
"prime-cloud.com","Prime Cloud","Retail","Medium-Large ($50MM-$100MM)","Medium (200-499)","Engaged","2026-06-05",37,4,"e5b67e3fd41fcd974576030e540cf475243e1c37cb637efae9855b9d6241a095"
"core-inc.com","Core Inc","Logistics and Supply Chain","Micro ($0-$1MM)","Micro (1-9)","Unaware","2026-09-05",1,1,""
"nexus-inc.com","Nexus Inc","Logistics and Supply Chain","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","MQL","2026-05-29",173,20,"c3ba172478a8dbfd1f2e2f64ea178c0fec46cf7a4f2f79d7ef8f87d818c68ee8"
"atlas-solutions.com","Atlas Solutions","Marketing and Advertising","Micro ($0-$1MM)","Micro (1-9)","Aware","2026-05-09",4,5,""
"peak-hub.com","Peak Hub","Food & Beverages","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","MQL","2026-08-24",53,25,""
"global-solutions.com","Global Solutions","Marketing and Advertising","Micro ($0-$1MM)","Small (10-49)","Unaware","2026-08-04",1,1,""
"swift-tech.com","Swift Tech","Insurance","Large ($100MM-$200MM)","Large (1,000-4,999)","Unaware","2026-08-08",4,1,"02fb826327e624830938aa0c378a7e879711c66e8ffe61e19973a8e8c5eedda7"
"atlas-tech.com","Atlas Tech","Food & Beverages","Medium-Small ($10MM-$50MM)","Medium (200-499)","Engaged","2026-06-24",28,13,""
"nexus-labs.com","Nexus Labs","Software / Information Technology","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Unaware","2026-05-09",5,1,""
"apex-io.com","Apex Io","Real Estate","Large ($100MM-$200MM)","Large (1,000-4,999)","Unaware","2026-09-20",3,1,"de324a20722ff87b3c37f74a1027bdd5609e073c5b6de43fa5c8a6b7f879bb10"
"prime-media.com","Prime Media","Entertainment","Small ($1MM-$10MM)","Medium-Small (50-199)","Unaware","2026-04-20",5,1,""
"clear-cloud.com","Clear Cloud","Education Management","Small ($1MM-$10MM)","Medium-Small (50-199)","Engaged","2026-07-24",73,14,""
"clear-digital.com","Clear Digital","Retail","Medium-Small ($10MM-$50MM)","Medium (200-499)","Unaware","2026-07-01",4,1,"4dee24494eb1b6963d35b265b59d6536915d65cccf663eecbc0257c4843fe2ea"
"swift-net.com","Swift Net","Software / Information Technology","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","Unaware","2026-08-30",3,1,"99d9e4cdeee2f53ba2f644691542313c82bb6621d7b333f2fb99b75a1c0b069d"
"prime-inc.com","Prime Inc","Management Consulting","Large ($100MM-$200MM)","Large (1,000-4,999)","Opportunity","2026-07-22",177,38,""
"rapid-inc.com","Rapid Inc","Retail","Small ($1MM-$10MM)","Small (10-49)","Engaged","2026-03-28",29,14,""
"apex-media.com","Apex Media","Legal Services","Micro ($0-$1MM)","Micro (1-9)","MQL","2026-04-03",111,18,"3d825ea564d8032de037c6a08953c0a0152d8fad30b543114b95a534f82f1d3e"
"peak-tech.com","Peak Tech","Construction","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","Engaged","2026-09-11",58,13,""
"nexus-group.com","Nexus Group","Construction","XLarge ($200MM-$1B)","XLarge (5,000-10,000)","Aware","2026-05-26",14,5,""
"apex-digital.com","Apex Digital","Legal Services","Large ($100MM-$200MM)","Large (1,000-4,999)","Unaware","2026-07-21",5,1,""
"nexus-io.com","Nexus Io","Marketing and Advertising","Medium-Large ($50MM-$100MM)","Medium (200-499)","Unaware","2026-08-14",3,1,"6c832fa7809ea984927a7fd58102ec34f3e1caa093038f941a3d70eed9a62436"
"core-inc.com","Core Inc","Real Estate","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Aware","2026-04-16",22,5,""
"green-hub.com","Green Hub","Financial Services","Medium-Large ($50MM-$100MM)","Medium (200-499)","Aware","2026-07-14",14,6,""
"nova-data.com","Nova Data","Hospital & Health Care","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Engaged","2026-04-16",102,15,""
"smart-data.com","Smart Data","Financial Services","Small ($1MM-$10MM)","Medium-Small (50-199)","Engaged","2026-06-23",16,6,"76aca6a6b92522a00ef8b818d1e39cb6fbe82d6c6a0a6712275bc890f6b20f1f"
"apex-media.com","Apex Media","Retail","Micro ($0-$1MM)","Small (10-49)","Unaware","2026-05-06",2,1,""
"cyber-inc.com","Cyber Inc","Entertainment","Medium-Large ($50MM-$100MM)","Medium (200-499)","Unaware","2026-04-13",5,1,"a8978b3697e4491a5a5b0d0806db23d381bed581ae4013a4420b3d31fa9ea6f9"
"stellar-net.com","Stellar Net","Insurance","Micro ($0-$1MM)","Micro (1-9)","Unaware","2026-05-10",4,1,"cca5c789caa170df0338d43847530c48cc66fb82df7a08d50046590e1d0941ed"
"swift-labs.com","Swift Labs","Entertainment","Micro ($0-$1MM)","Small (10-49)","Aware","2026-06-02",11,5,""
"apex-labs.com","Apex Labs","Software / Information Technology","Large ($100MM-$200MM)","Large (1,000-4,999)","Aware","2026-09-19",9,5,""
"nexus-tech.com","Nexus Tech","Manufacturing","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","Engaged","2026-04-05",74,18,""
"vertex-tech.com","Vertex Tech","Health, Wellness and Fitness","Micro ($0-$1MM)","Micro (1-9)","MQL","2026-05-22",180,18,"4cab05ac23c7cf730d30ea2623e9495fe19defd0821fcbca2403893a87dc34cf"
"bright-io.com","Bright Io","Entertainment","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","Aware","2026-04-05",3,6,""
"prime-io.com","Prime Io","Management Consulting","Large ($100MM-$200MM)","Medium-Large (500-999)","Engaged","2026-03-28",65,12,"2ac7a3429c36f820b2d22dc1d8e554510f6ca778a91b26a9d6f5973cfb74b3b5"
"acme-net.com","Acme Net","E-Learning","Micro ($0-$1MM)","Small (10-49)","Aware","2026-04-10",13,5,""
"cyber-solutions.com","Cyber Solutions","Financial Services","Micro ($0-$1MM)","Micro (1-9)","Engaged","2026-06-11",13,11,"bafcc88900a55da8592949dda2fa796717d7515dd407670de94c79449ea33dec"
"stellar-data.com","Stellar Data","Software / Information Technology","Large ($100MM-$200MM)","Large (1,000-4,999)","Aware","2026-07-24",19,5,""
"apex-labs.com","Apex Labs","Education Management","Small ($1MM-$10MM)","Medium-Small (50-199)","MQL","2026-08-03",113,28,""
"nova-works.com","Nova Works","Real Estate","Small ($1MM-$10MM)","Medium-Small (50-199)","Unaware","2026-05-04",2,1,""
"vertex-tech.com","Vertex Tech","Telecommunications","Micro ($0-$1MM)","Micro (1-9)","MQL","2026-06-06",41,17,"3e06ce07385d7f4d6e0147df35d75c9a1e7dc400ee35d1094821b8ece44fe70c"
"blue-inc.com","Blue Inc","Software / Information Technology","Small ($1MM-$10MM)","Small (10-49)","Aware","2026-08-21",20,3,"2942d1ffaca86054c8239f73aaf24812372107422af79d393075ca565d20c1ef"
"blue-digital.com","Blue Digital","Telecommunications","XLarge ($200MM-$1B)","XLarge (5,000-10,000)","Unaware","2026-06-06",4,1,"ba31e62597222f732cc7281c90aeb4c51d876bf6716cd8711e3f7b8f6c805b2f"
"peak-cloud.com","Peak Cloud","Entertainment","Large ($100MM-$200MM)","Large (1,000-4,999)","Aware","2026-08-13",7,4,""
"green-cloud.com","Green Cloud","E-Learning","Small ($1MM-$10MM)","Small (10-49)","Aware","2026-09-02",15,1,"e73bbcd2ae0a377d11b54b34e0c0af61810074b6d658021f94ec824f48b97629"
"green-media.com","Green Media","Insurance","Large ($100MM-$200MM)","Medium-Large (500-999)","Aware","2026-08-03",19,4,""
